cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,le,le_mu,le_lambda,le_rot,lj,lj_eps,nj,nj_eps,nj_gamma
0034,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,0,true,0,0.005,0,0.01,0.5
0035,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,0,true,0,0.005,0,0.01,0.5
0036,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,0,true,0,0.005,0,0.01,0.5
0037,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0008,1,0,true,0,0.005,0,0.01,0.5
0038,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0009,1,0,true,0,0.005,0,0.01,0.5
0039,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0010,1,0,true,0,0.005,0,0.01,0.5
0040,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0020,1,0,true,0,0.005,0,0.01,0.5
0041,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0030,1,0,true,0,0.005,0,0.01,0.5
0042,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0040,1,0,true,0,0.005,0,0.01,0.5
0043,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0050,1,0,true,0,0.005,0,0.01,0.5
0044,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,0,true,0,0.005,0,0.01,0.5
0045,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,0,true,0,0.005,0,0.01,0.5
0046,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,0,true,0,0.005,0,0.01,0.5
0047,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0008,1,0,true,0,0.005,0,0.01,0.5
0048,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0009,1,0,true,0,0.005,0,0.01,0.5
0049,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0010,1,0,true,0,0.005,0,0.01,0.5
0050,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0020,1,0,true,0,0.005,0,0.01,0.5
0051,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0030,1,0,true,0,0.005,0,0.01,0.5
0052,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0040,1,0,true,0,0.005,0,0.01,0.5
0053,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0050,1,0,true,0,0.005,0,0.01,0.5
0054,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,0,true,0,0.005,0,0.01,0.5
0055,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,0,true,0,0.005,0,0.01,0.5
0056,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,0,true,0,0.005,0,0.01,0.5
0057,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0008,1,0,true,0,0.005,0,0.01,0.5
0058,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0009,1,0,true,0,0.005,0,0.01,0.5
0059,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0010,1,0,true,0,0.005,0,0.01,0.5
0060,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0020,1,0,true,0,0.005,0,0.01,0.5
0061,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0030,1,0,true,0,0.005,0,0.01,0.5
0062,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0040,1,0,true,0,0.005,0,0.01,0.5
0063,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0050,1,0,true,0,0.005,0,0.01,0.5
0064,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,0.5,true,0,0.005,0,0.01,0.5
0065,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,1.0,true,0,0.005,0,0.01,0.5
0066,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,1.5,true,0,0.005,0,0.01,0.5
0067,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,0.5,true,0,0.005,0,0.01,0.5
0068,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,1.0,true,0,0.005,0,0.01,0.5
0069,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,1.5,true,0,0.005,0,0.01,0.5
0070,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,0.5,true,0,0.005,0,0.01,0.5
0071,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,1.0,true,0,0.005,0,0.01,0.5
0072,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,1.5,true,0,0.005,0,0.01,0.5
0073,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0008,1,0.5,true,0,0.005,0,0.01,0.5
0074,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0008,1,1.0,true,0,0.005,0,0.01,0.5
0075,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0008,1,1.5,true,0,0.005,0,0.01,0.5
0076,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0009,1,0.5,true,0,0.005,0,0.01,0.5
0077,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0009,1,1.0,true,0,0.005,0,0.01,0.5
0078,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0009,1,1.5,true,0,0.005,0,0.01,0.5
0079,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0010,1,0.5,true,0,0.005,0,0.01,0.5
0080,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0010,1,1.0,true,0,0.005,0,0.01,0.5
0081,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0010,1,1.5,true,0,0.005,0,0.01,0.5
0082,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0020,1,0.5,true,0,0.005,0,0.01,0.5
0083,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0020,1,1.0,true,0,0.005,0,0.01,0.5
0084,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0020,1,1.5,true,0,0.005,0,0.01,0.5
0085,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0030,1,0.5,true,0,0.005,0,0.01,0.5
0086,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0030,1,1.0,true,0,0.005,0,0.01,0.5
0087,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0030,1,1.5,true,0,0.005,0,0.01,0.5
0088,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0040,1,0.5,true,0,0.005,0,0.01,0.5
0089,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0040,1,1.0,true,0,0.005,0,0.01,0.5
0090,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0040,1,1.5,true,0,0.005,0,0.01,0.5
0091,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0050,1,0.5,true,0,0.005,0,0.01,0.5
0092,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0050,1,1.0,true,0,0.005,0,0.01,0.5
0093,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0050,1,1.5,true,0,0.005,0,0.01,0.5
0094,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,0.5,true,0,0.005,0,0.01,0.5
0095,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,1.0,true,0,0.005,0,0.01,0.5
0096,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,1.5,true,0,0.005,0,0.01,0.5
0097,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,0.5,true,0,0.005,0,0.01,0.5
0098,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,1.0,true,0,0.005,0,0.01,0.5
0099,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,1.5,true,0,0.005,0,0.01,0.5
0100,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,0.5,true,0,0.005,0,0.01,0.5
0101,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,1.0,true,0,0.005,0,0.01,0.5
0102,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,1.5,true,0,0.005,0,0.01,0.5
0103,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0008,1,0.5,true,0,0.005,0,0.01,0.5
0104,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0008,1,1.0,true,0,0.005,0,0.01,0.5
0105,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0008,1,1.5,true,0,0.005,0,0.01,0.5
0106,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0009,1,0.5,true,0,0.005,0,0.01,0.5
0107,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0009,1,1.0,true,0,0.005,0,0.01,0.5
0108,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0009,1,1.5,true,0,0.005,0,0.01,0.5
0109,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0010,1,0.5,true,0,0.005,0,0.01,0.5
0110,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0010,1,1.0,true,0,0.005,0,0.01,0.5
0111,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0010,1,1.5,true,0,0.005,0,0.01,0.5
0112,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0020,1,0.5,true,0,0.005,0,0.01,0.5
0113,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0020,1,1.0,true,0,0.005,0,0.01,0.5
0114,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0020,1,1.5,true,0,0.005,0,0.01,0.5
0115,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0030,1,0.5,true,0,0.005,0,0.01,0.5
0116,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0030,1,1.0,true,0,0.005,0,0.01,0.5
0117,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0030,1,1.5,true,0,0.005,0,0.01,0.5
0118,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0040,1,0.5,true,0,0.005,0,0.01,0.5
0119,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0040,1,1.0,true,0,0.005,0,0.01,0.5
0120,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0040,1,1.5,true,0,0.005,0,0.01,0.5
0121,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0050,1,0.5,true,0,0.005,0,0.01,0.5
0122,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0050,1,1.0,true,0,0.005,0,0.01,0.5
0123,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0050,1,1.5,true,0,0.005,0,0.01,0.5
0124,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,0.5,true,0,0.005,0,0.01,0.5
0125,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,1.0,true,0,0.005,0,0.01,0.5
0126,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0005,1,1.5,true,0,0.005,0,0.01,0.5
0127,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,0.5,true,0,0.005,0,0.01,0.5
0128,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,1.0,true,0,0.005,0,0.01,0.5
0129,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0006,1,1.5,true,0,0.005,0,0.01,0.5
0130,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,0.5,true,0,0.005,0,0.01,0.5
0131,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0.0007,1,1.0,true,0,0.005,0,0.01,0.5
